iter	Passed	Remaining
0	1	126
1	2	114
2	3	107
3	3	95
4	4	93
5	5	90
6	7	100
7	8	100
8	9	95
9	10	91
10	11	89
11	11	87
12	12	84
13	13	82
14	14	79
15	14	77
16	15	75
17	16	73
18	16	72
19	17	71
20	18	70
21	19	68
22	20	67
23	21	67
24	22	67
25	23	66
26	23	64
27	24	63
28	25	62
29	26	61
30	26	60
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	34	47
42	35	46
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	36
55	46	36
56	47	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	57	26
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
